geo,text,user,user_location
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",afiandeira,
,RT @ReginadelC: Y pues na’a que ya he llegao a Barcelona. Y que aquí todos se llaman José algo. Le he preguntao a José el del aeropuerto qu…,CarlosA97187605,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",BarrosoYolanda,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Vorthellion,
,"RT @BAERVenezuela: #8Jun | Día a día el Aeropuerto Inter. GD José Antonio Anzoátegui de Barcelona, garantiza a los pasajeros servicios de a…",MUSURRA,
,"RT @BAERVenezuela: #8Jun | ¡Venezuela Potencia! Con la articulación entre @BAERVenezuela y Gobierno Regional, se materializó el arribo del…",MUSURRA,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",1965Eenrique,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",motzanka,Madrid
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",IFalRed72,Andalucia
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Maritahita,"Madrid, Comunidad de Madrid"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",A_Barrilaro,España
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",JuanTocoto,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",GaresJosep,
,RT @ReginadelC: Y pues na’a que ya he llegao a Barcelona. Y que aquí todos se llaman José algo. Le he preguntao a José el del aeropuerto qu…,EstherS51678869,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Goyo1966Alvarez,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",nyordocolono,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Pacodsb,España
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",ferboru,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",xerezanu,"Xerez-Xixon, ESPAÑA"
