geo,text,user,user_location
,"RT @jetfury: Once again #Brexit ruins supreme 
No one to stamp our Carnet at Barcelona Airport 
So we goto hope the Guys at Bristol will un…",mattsdrums,citizen of the world
,"RT @BdailyNorthEast: .@Ryanair has put new flights on sale to Barcelona and Cork, adding to their other 19 destinations currently available…",flyhellas,Alnwick Northumberland
,"RT @BdailyNorthEast: .@Ryanair has put new flights on sale to Barcelona and Cork, adding to their other 19 destinations currently available…",NCLairport,"Newcastle upon Tyne, UK"
,".@Ryanair has put new flights on sale to Barcelona and Cork, adding to their other 19 destinations currently availa… https://t.co/fVUJgCZr1e",BdailyNorthEast,"North East, England"
,".@Ryanair has put new flights on sale to Barcelona and Cork, adding to their other 19 destinations currently availa… https://t.co/s7OhnDvJ4T",Bdaily,UK
,"RT @jetfury: Once again #Brexit ruins supreme 
No one to stamp our Carnet at Barcelona Airport 
So we goto hope the Guys at Bristol will un…",MattEwing7,"Bristol, England"
,"RT @shakirastuff_: Shakira, Milan, and Sasha at the airport in Barcelona with security on Sunday, June 5.",mariazeballos26,España 🇪🇸
,RT @JM_Simulation: Approach into Barcelona🇪🇸 #avgeek #AvGeek #aviation #MicrosoftFlightSimulator #Simbitworld #Airport @MSFSofficial @Asobo…,Stewbacca31,Scotland
,"RT @jetfury: Once again #Brexit ruins supreme 
No one to stamp our Carnet at Barcelona Airport 
So we goto hope the Guys at Bristol will un…",barnesyboy2,"Portishead, England"
,Flight Number #BA472 From #LHR (London Heathrow) to #BCN (Barcelona Airport) has departed,LHRDepartureBot,
,RT @JM_Simulation: Approach into Barcelona🇪🇸 #avgeek #AvGeek #aviation #MicrosoftFlightSimulator #Simbitworld #Airport @MSFSofficial @Asobo…,AshHeisenberg,"West Midlands, England"
,"RT @shakirastuff_: Shakira, Milan, and Sasha at the airport in Barcelona with security on Sunday, June 5.",fliesinthehouse,
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,fliesinthehouse,
,Well this train better get me to the airport and to my Barcelona train,AJBM17,"Edinburgh, Scotland"
,Now waiting for which gates to go in the waiting area at barcelona airport to go home! https://t.co/TcCfrgbUGw,Lonmark1980,"London, England"
,"RT @shakirastuff_: Shakira, Milan, and Sasha at the airport in Barcelona with security on Sunday, June 5.",ReadyForShak,He/She 🏳️‍🌈
